approx_year,council_area_named,age_group,sex,diagnosis,number_of_discharges,crude_rate_discharge,easr_discharge,number_of_deaths,crude_rate_mortality,easr_mortality,hospitalstays,crude_rate_stays
2009,Aberdeen City,0-44 years,Female,Cerebrovascular Disease,NA,NA,13.953496460250001,0,0,0,NA,NA
2009,Aberdeen City,0-44 years,Female,Stroke,0,0,12.218392327,0,0,0,NA,NA
2009,Aberdeen City,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Aberdeen City,0-44 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2009,Aberdeen City,0-44 years,Male,Cerebrovascular Disease,0,0,14.403819465,0,0,0,NA,NA
2009,Aberdeen City,0-44 years,Male,Stroke,0,0,7.5622530095,0,0,0,NA,NA
2009,Aberdeen City,0-44 years,Male,Subarachnoid Haemorrhage,0,0,2.267573696,0,0,0,NA,NA
2009,Aberdeen City,0-44 years,Male,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2009,Aberdeen City,45-64 years,Female,Cerebrovascular Disease,NA,NA,178.8084037425,NA,NA,7.21,NA,NA
2009,Aberdeen City,45-64 years,Female,Stroke,0,0,85.25000931,0,0,0,NA,NA
2009,Aberdeen City,45-64 years,Female,Subarachnoid Haemorrhage,NA,NA,36.17807158,NA,NA,3.77,NA,NA
2009,Aberdeen City,45-64 years,Female,TIAs and related syndromes,NA,NA,21.43688919325,NA,NA,NA,NA,NA
2009,Aberdeen City,45-64 years,Male,Cerebrovascular Disease,NA,NA,255.22357260249998,NA,NA,22.99,NA,NA
2009,Aberdeen City,45-64 years,Male,Stroke,0,0,207.48112365,NA,NA,11.37,NA,NA
2009,Aberdeen City,45-64 years,Male,Subarachnoid Haemorrhage,0,0,7.70432684975,NA,NA,3.79,NA,NA
2009,Aberdeen City,45-64 years,Male,TIAs and related syndromes,NA,NA,22.531188271250002,NA,NA,NA,NA,NA
2009,Aberdeen City,65-74 years,Female,Cerebrovascular Disease,NA,NA,407.07810542000004,NA,NA,144.74,NA,NA
2009,Aberdeen City,65-74 years,Female,Stroke,NA,NA,293.7978072975,NA,NA,101.02,NA,NA
2009,Aberdeen City,65-74 years,Female,Subarachnoid Haemorrhage,0,0,34.4492507825,0,0,0,NA,NA
