Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2009,S92000003,d,All,d,All,d,Cerebrovascular Disease,4911,,93.87,,116.33
2009,S92000003,d,All,d,All,d,Stroke,2732,,52.22,,62.47
2009,S92000003,d,All,d,All,d,Subarachnoid Haemorrhage,189,,3.61,,3.73
2009,S92000003,d,All,d,Male,,Cerebrovascular Disease,1843,,72.79,,116.98
2009,S92000003,d,All,d,Male,,Stroke,988,,39.02,,59.5
2009,S92000003,d,All,d,Male,,Subarachnoid Haemorrhage,64,,2.53,,2.85
2009,S92000003,d,All,d,Female,,Cerebrovascular Disease,3068,,113.63,,115.68
2009,S92000003,d,All,d,Female,,Stroke,1744,,64.59,,65.43
2009,S92000003,d,All,d,Female,,Subarachnoid Haemorrhage,125,,4.63,,4.61
2009,S92000003,d,0-44 years,,All,d,Cerebrovascular Disease,60,,2.03,,2.04
2009,S92000003,d,0-44 years,,All,d,Stroke,29,,0.98,,0.98
2009,S92000003,d,0-44 years,,All,d,Subarachnoid Haemorrhage,24,,0.81,,0.82
2009,S92000003,d,0-44 years,,Male,,Cerebrovascular Disease,35,,2.38,,2.44
2009,S92000003,d,0-44 years,,Male,,Stroke,20,,1.36,,1.37
2009,S92000003,d,0-44 years,,Male,,Subarachnoid Haemorrhage,10,,0.68,,0.73
2009,S92000003,d,0-44 years,,Female,,Cerebrovascular Disease,25,,1.69,,1.64
2009,S92000003,d,0-44 years,,Female,,Stroke,9,,0.61,,0.59
2009,S92000003,d,0-44 years,,Female,,Subarachnoid Haemorrhage,14,,0.95,,0.92
2009,S92000003,d,45-64 years,,All,d,Cerebrovascular Disease,358,,25.35,,25.64
2009,S92000003,d,45-64 years,,All,d,Stroke,198,,14.02,,14.23
2009,S92000003,d,45-64 years,,All,d,Subarachnoid Haemorrhage,84,,5.95,,5.94
2009,S92000003,d,45-64 years,,Male,,Cerebrovascular Disease,190,,27.5,,27.84
2009,S92000003,d,45-64 years,,Male,,Stroke,110,,15.92,,16.15
2009,S92000003,d,45-64 years,,Male,,Subarachnoid Haemorrhage,33,,4.78,,4.82
2009,S92000003,d,45-64 years,,Female,,Cerebrovascular Disease,168,,23.29,,23.44
2009,S92000003,d,45-64 years,,Female,,Stroke,88,,12.2,,12.31
2009,S92000003,d,45-64 years,,Female,,Subarachnoid Haemorrhage,51,,7.07,,7.06
2009,S92000003,d,65-74 years,,All,d,Cerebrovascular Disease,627,,132.37,,134.95
2009,S92000003,d,65-74 years,,All,d,Stroke,398,,84.03,,85.26
2009,S92000003,d,65-74 years,,All,d,Subarachnoid Haemorrhage,33,,6.97,,6.84
2009,S92000003,d,65-74 years,,Male,,Cerebrovascular Disease,329,,149.71,,152.12
2009,S92000003,d,65-74 years,,Male,,Stroke,203,,92.37,,93.5
2009,S92000003,d,65-74 years,,Male,,Subarachnoid Haemorrhage,10,,4.55,,4.61
2009,S92000003,d,65-74 years,,Female,,Cerebrovascular Disease,298,,117.36,,117.77
2009,S92000003,d,65-74 years,,Female,,Stroke,195,,76.8,,77.03
2009,S92000003,d,65-74 years,,Female,,Subarachnoid Haemorrhage,23,,9.06,,9.08
2009,S92000003,d,under75 years,d,All,d,Cerebrovascular Disease,1045,,21.61,,24.25
2009,S92000003,d,under75 years,d,All,d,Stroke,625,,12.93,,14.56
2009,S92000003,d,under75 years,d,All,d,Subarachnoid Haemorrhage,141,,2.92,,3.01
2009,S92000003,d,under75 years,d,Male,,Cerebrovascular Disease,554,,23.27,,27.1
2009,S92000003,d,under75 years,d,Male,,Stroke,333,,13.99,,16.3
2009,S92000003,d,under75 years,d,Male,,Subarachnoid Haemorrhage,53,,2.23,,2.37
2009,S92000003,d,under75 years,d,Female,,Cerebrovascular Disease,491,,20.01,,21.39
2009,S92000003,d,under75 years,d,Female,,Stroke,292,,11.9,,12.82
2009,S92000003,d,under75 years,d,Female,,Subarachnoid Haemorrhage,88,,3.59,,3.65
