Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2009,S92000003,d,All,d,All,d,Cerebrovascular Disease,4911,,93.86647,,116.3335
2009,S92000003,d,All,d,All,d,Stroke,2732,,52.21812,,62.4669
2009,S92000003,d,All,d,All,d,Subarachnoid Haemorrhage,189,,3.612454,,3.725818
2009,S92000003,d,All,d,Male,,Cerebrovascular Disease,1843,,72.7892,,116.9822
2009,S92000003,d,All,d,Male,,Stroke,988,,39.02101,,59.50055
2009,S92000003,d,All,d,Male,,Subarachnoid Haemorrhage,64,,2.527677,,2.84546
2009,S92000003,d,All,d,Female,,Cerebrovascular Disease,3068,,113.6325,,115.6848
2009,S92000003,d,All,d,Female,,Stroke,1744,,64.59424,,65.43325
2009,S92000003,d,All,d,Female,,Subarachnoid Haemorrhage,125,,4.629748,,4.606177
2009,S92000003,d,0-44 years,,All,d,Cerebrovascular Disease,60,,2.034432,,2.039087
2009,S92000003,d,0-44 years,,All,d,Stroke,29,,0.983309,,0.977337
2009,S92000003,d,0-44 years,,All,d,Subarachnoid Haemorrhage,24,,0.813773,,0.824888
2009,S92000003,d,0-44 years,,Male,,Cerebrovascular Disease,35,,2.380572,,2.435915
2009,S92000003,d,0-44 years,,Male,,Stroke,20,,1.360327,,1.368782
2009,S92000003,d,0-44 years,,Male,,Subarachnoid Haemorrhage,10,,0.680163,,0.728234
2009,S92000003,d,0-44 years,,Female,,Cerebrovascular Disease,25,,1.690342,,1.642259
2009,S92000003,d,0-44 years,,Female,,Stroke,9,,0.608523,,0.585892
2009,S92000003,d,0-44 years,,Female,,Subarachnoid Haemorrhage,14,,0.946591,,0.921542
2009,S92000003,d,45-64 years,,All,d,Cerebrovascular Disease,358,,25.35233,,25.63822
2009,S92000003,d,45-64 years,,All,d,Stroke,198,,14.02168,,14.22702
2009,S92000003,d,45-64 years,,All,d,Subarachnoid Haemorrhage,84,,5.948591,,5.942692
2009,S92000003,d,45-64 years,,Male,,Cerebrovascular Disease,190,,27.50263,,27.83549
2009,S92000003,d,45-64 years,,Male,,Stroke,110,,15.92258,,16.14554
2009,S92000003,d,45-64 years,,Male,,Subarachnoid Haemorrhage,33,,4.776773,,4.820528
2009,S92000003,d,45-64 years,,Female,,Cerebrovascular Disease,168,,23.2927,,23.44094
2009,S92000003,d,45-64 years,,Female,,Stroke,88,,12.20094,,12.3085
2009,S92000003,d,45-64 years,,Female,,Subarachnoid Haemorrhage,51,,7.070998,,7.064857
2009,S92000003,d,65-74 years,,All,d,Cerebrovascular Disease,627,,132.3718,,134.9471
2009,S92000003,d,65-74 years,,All,d,Stroke,398,,84.02545,,85.2639
2009,S92000003,d,65-74 years,,All,d,Subarachnoid Haemorrhage,33,,6.966935,,6.844232
2009,S92000003,d,65-74 years,,Male,,Cerebrovascular Disease,329,,149.7108,,152.1196
2009,S92000003,d,65-74 years,,Male,,Stroke,203,,92.37476,,93.49889
2009,S92000003,d,65-74 years,,Male,,Subarachnoid Haemorrhage,10,,4.550481,,4.609441
2009,S92000003,d,65-74 years,,Female,,Cerebrovascular Disease,298,,117.3649,,117.7746
2009,S92000003,d,65-74 years,,Female,,Stroke,195,,76.79917,,77.02891
2009,S92000003,d,65-74 years,,Female,,Subarachnoid Haemorrhage,23,,9.058363,,9.079023
2009,S92000003,d,under75 years,d,All,d,Cerebrovascular Disease,1045,,21.61328,,24.2469
2009,S92000003,d,under75 years,d,All,d,Stroke,625,,12.9266,,14.56113
2009,S92000003,d,under75 years,d,All,d,Subarachnoid Haemorrhage,141,,2.916241,,3.009778
2009,S92000003,d,under75 years,d,Male,,Cerebrovascular Disease,554,,23.26915,,27.10369
2009,S92000003,d,under75 years,d,Male,,Stroke,333,,13.98669,,16.3023
2009,S92000003,d,under75 years,d,Male,,Subarachnoid Haemorrhage,53,,2.22611,,2.367778
2009,S92000003,d,under75 years,d,Female,,Cerebrovascular Disease,491,,20.00688,,21.39011
2009,S92000003,d,under75 years,d,Female,,Stroke,292,,11.89818,,12.81997
2009,S92000003,d,under75 years,d,Female,,Subarachnoid Haemorrhage,88,,3.585754,,3.651777
2009,S92000003,d,75plus years,,All,d,Cerebrovascular Disease,3866,,974.0268,,1047.431
2009,S92000003,d,75plus years,,All,d,Stroke,2107,,530.8522,,546.8474
2009,S92000003,d,75plus years,,All,d,Subarachnoid Haemorrhage,48,,12.09345,,10.96579
2009,S92000003,d,75plus years,,Male,,Cerebrovascular Disease,1289,,852.8855,,1025.754
2009,S92000003,d,75plus years,,Male,,Stroke,655,,433.3902,,496.2829
2009,S92000003,d,75plus years,,Male,,Subarachnoid Haemorrhage,11,,7.278309,,7.675353
2009,S92000003,d,75plus years,,Female,,Cerebrovascular Disease,2577,,1048.52,,1069.109
2009,S92000003,d,75plus years,,Female,,Stroke,1452,,590.7843,,597.412
2009,S92000003,d,75plus years,,Female,,Subarachnoid Haemorrhage,37,,15.05442,,14.25622
2009,S08000015,,All,d,All,d,Cerebrovascular Disease,386,,103.6436,,116.7516
2009,S08000015,,All,d,All,d,Stroke,206,,55.31241,,62.07251
2009,S08000015,,All,d,All,d,Subarachnoid Haemorrhage,18,,4.833123,,4.621841
2009,S08000015,,All,d,Male,,Cerebrovascular Disease,142,,79.71169,,114.6451
2009,S08000015,,All,d,Male,,Stroke,81,,45.46934,,63.57565
2009,S08000015,,All,d,Male,,Subarachnoid Haemorrhage,6,,3.3681,,3.375787
2009,S08000015,,All,d,Female,,Cerebrovascular Disease,244,,125.5868,,118.8581
2009,S08000015,,All,d,Female,,Stroke,125,,64.33748,,60.56938
2009,S08000015,,All,d,Female,,Subarachnoid Haemorrhage,12,,6.176398,,5.867894
2009,S08000015,,0-44 years,,All,d,Cerebrovascular Disease,5,,2.538922,,2.636909
2009,S08000015,,0-44 years,,All,d,Stroke,3,,1.523353,,1.515158
2009,S08000015,,0-44 years,,All,d,Subarachnoid Haemorrhage,1,,0.507784,,0.560876
2009,S08000015,,0-44 years,,Male,,Cerebrovascular Disease,5,,5.151984,,5.273819
2009,S08000015,,0-44 years,,Male,,Stroke,3,,3.09119,,3.030315
2009,S08000015,,0-44 years,,Male,,Subarachnoid Haemorrhage,1,,1.030397,,1.121752
2009,S08000015,,0-44 years,,Female,,Cerebrovascular Disease,0,,0,,0
2009,S08000015,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S08000015,,0-44 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000015,,45-64 years,,All,d,Cerebrovascular Disease,32,,30.16506,,29.9025
2009,S08000015,,45-64 years,,All,d,Stroke,17,,16.02519,,16.11279
2009,S08000015,,45-64 years,,All,d,Subarachnoid Haemorrhage,9,,8.483923,,8.256542
2009,S08000015,,45-64 years,,Male,,Cerebrovascular Disease,18,,35.16655,,34.51361
2009,S08000015,,45-64 years,,Male,,Stroke,12,,23.44437,,23.17358
2009,S08000015,,45-64 years,,Male,,Subarachnoid Haemorrhage,2,,3.907395,,3.732199
2009,S08000015,,45-64 years,,Female,,Cerebrovascular Disease,14,,25.50184,,25.29139
2009,S08000015,,45-64 years,,Female,,Stroke,5,,9.1078,,9.052002
2009,S08000015,,45-64 years,,Female,,Subarachnoid Haemorrhage,7,,12.75092,,12.78088
2009,S08000015,,65-74 years,,All,d,Cerebrovascular Disease,54,,140.3618,,142.6654
2009,S08000015,,65-74 years,,All,d,Stroke,35,,90.97525,,92.04234
2009,S08000015,,65-74 years,,All,d,Subarachnoid Haemorrhage,5,,12.99646,,13.38905
2009,S08000015,,65-74 years,,Male,,Cerebrovascular Disease,26,,144.0922,,146.3058
