FinancialYear,HBR,HBRQF,AdmissionType,AdmissionTypeQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDischarges,NumberOfDischargesQF,CrudeRate,CrudeRateQF,EASR
2009/10,S92000003,d,All,d,All,d,All,d,Cerebrovascular Disease,25545,,488.2547449,,564.2170389
2009/10,S92000003,d,All,d,All,d,All,d,Stroke,17239,,329.497888,,383.3586508
2009/10,S92000003,d,All,d,All,d,All,d,Subarachnoid Haemorrhage,1405,,26.85448881,,27.31416598
2009/10,S92000003,d,All,d,All,d,All,d,TIAs and related syndromes,3101,,59.27101053,,67.91723872
2009/10,S92000003,d,All,d,All,d,Male,,Cerebrovascular Disease,12408,,490.0533932,,637.5616733
2009/10,S92000003,d,All,d,All,d,Male,,Stroke,8353,,329.9013535,,435.5225077
2009/10,S92000003,d,All,d,All,d,Male,,Subarachnoid Haemorrhage,462,,18.2466689,,19.11591706
2009/10,S92000003,d,All,d,All,d,Male,,TIAs and related syndromes,1506,,59.47940121,,75.89383111
2009/10,S92000003,d,All,d,All,d,Female,,Cerebrovascular Disease,13137,,486.5679901,,490.8724045
2009/10,S92000003,d,All,d,All,d,Female,,Stroke,8886,,329.1195219,,331.1947939
2009/10,S92000003,d,All,d,All,d,Female,,Subarachnoid Haemorrhage,943,,34.9268185,,35.5124149
2009/10,S92000003,d,All,d,All,d,Female,,TIAs and related syndromes,1595,,59.07558378,,59.94064633
2009/10,S92000003,d,All,d,0-44 years,,All,d,Cerebrovascular Disease,1215,,41.19724972,,41.09488598
2009/10,S92000003,d,All,d,0-44 years,,All,d,Stroke,577,,19.56445522,,19.60202841
2009/10,S92000003,d,All,d,0-44 years,,All,d,Subarachnoid Haemorrhage,281,,9.527923598,,9.501881744
2009/10,S92000003,d,All,d,0-44 years,,All,d,TIAs and related syndromes,91,,3.085555329,,3.06016733
2009/10,S92000003,d,All,d,0-44 years,,Male,,Cerebrovascular Disease,646,,43.93855404,,44.22070884
2009/10,S92000003,d,All,d,0-44 years,,Male,,Stroke,348,,23.66968546,,23.89541298
2009/10,S92000003,d,All,d,0-44 years,,Male,,Subarachnoid Haemorrhage,123,,8.366009515,,8.459977224
2009/10,S92000003,d,All,d,0-44 years,,Male,,TIAs and related syndromes,45,,3.060735189,,3.05666291
2009/10,S92000003,d,All,d,0-44 years,,Female,,Cerebrovascular Disease,569,,38.47217461,,37.96906312
